year,month,bin,bin_definition,events
2006,1,one,Events with only one report,25
2006,2,one,Events with only one report,25
2006,3,one,Events with only one report,41
2006,4,one,Events with only one report,26
2006,5,one,Events with only one report,21
2006,6,one,Events with only one report,17
2006,7,one,Events with only one report,22
2006,8,one,Events with only one report,29
2006,9,one,Events with only one report,35
2006,10,one,Events with only one report,36
2006,11,one,Events with only one report,48
2006,12,one,Events with only one report,50
2006,1,2_10,Events with 1< number of reports <= 10,10
2006,2,2_10,Events with 1< number of reports <= 10,7
2006,3,2_10,Events with 1< number of reports <= 10,8
2006,4,2_10,Events with 1< number of reports <= 10,10
2006,5,2_10,Events with 1< number of reports <= 10,5
2006,6,2_10,Events with 1< number of reports <= 10,3
2006,7,2_10,Events with 1< number of reports <= 10,5
2006,8,2_10,Events with 1< number of reports <= 10,16
2006,9,2_10,Events with 1< number of reports <= 10,12
2006,10,2_10,Events with 1< number of reports <= 10,24
2006,11,2_10,Events with 1< number of reports <= 10,19
2006,12,2_10,Events with 1< number of reports <= 10,12
2006,1,11_25,Events with 10< number of reports <= 25,1
2006,2,11_25,Events with 10< number of reports <= 25,0
2006,3,11_25,Events with 10< number of reports <= 25,0
2006,4,11_25,Events with 10< number of reports <= 25,0
2006,5,11_25,Events with 10< number of reports <= 25,0
2006,6,11_25,Events with 10< number of reports <= 25,1
2006,7,11_25,Events with 10< number of reports <= 25,0
2006,8,11_25,Events with 10< number of reports <= 25,0
2006,9,11_25,Events with 10< number of reports <= 25,0
2006,10,11_25,Events with 10< number of reports <= 25,0
2006,11,11_25,Events with 10< number of reports <= 25,0
2006,12,11_25,Events with 10< number of reports <= 25,1
2006,1,26_50,Events with 25< number of reports <= 50,0
2006,2,26_50,Events with 25< number of reports <= 50,0
2006,3,26_50,Events with 25< number of reports <= 50,0
2006,4,26_50,Events with 25< number of reports <= 50,0
2006,5,26_50,Events with 25< number of reports <= 50,0
2006,6,26_50,Events with 25< number of reports <= 50,0
2006,7,26_50,Events with 25< number of reports <= 50,0
2006,8,26_50,Events with 25< number of reports <= 50,0
2006,9,26_50,Events with 25< number of reports <= 50,0
2006,10,26_50,Events with 25< number of reports <= 50,0
2006,11,26_50,Events with 25< number of reports <= 50,1
2006,12,26_50,Events with 25< number of reports <= 50,0
2006,1,51_99,Events with 50< number of reports < 100,0
2006,2,51_99,Events with 50< number of reports < 100,0
2006,3,51_99,Events with 50< number of reports < 100,0
2006,4,51_99,Events with 50< number of reports < 100,0
2006,5,51_99,Events with 50< number of reports < 100,0
2006,6,51_99,Events with 50< number of reports < 100,0
2006,7,51_99,Events with 50< number of reports < 100,0
2006,8,51_99,Events with 50< number of reports < 100,0
2006,9,51_99,Events with 50< number of reports < 100,0
2006,10,51_99,Events with 50< number of reports < 100,0
2006,11,51_99,Events with 50< number of reports < 100,0
2006,12,51_99,Events with 50< number of reports < 100,0
2006,1,100_plus,Events with more than 100 reports,0
2006,2,100_plus,Events with more than 100 reports,0
2006,3,100_plus,Events with more than 100 reports,0
2006,4,100_plus,Events with more than 100 reports,0
2006,5,100_plus,Events with more than 100 reports,0
2006,6,100_plus,Events with more than 100 reports,0
2006,7,100_plus,Events with more than 100 reports,0
2006,8,100_plus,Events with more than 100 reports,0
2006,9,100_plus,Events with more than 100 reports,0
2006,10,100_plus,Events with more than 100 reports,0
2006,11,100_plus,Events with more than 100 reports,0
2006,12,100_plus,Events with more than 100 reports,0
2007,1,one,Events with only one report,38
2007,2,one,Events with only one report,8
2007,3,one,Events with only one report,30
2007,4,one,Events with only one report,24
2007,5,one,Events with only one report,32
2007,6,one,Events with only one report,18
2007,7,one,Events with only one report,32
2007,8,one,Events with only one report,58
2007,9,one,Events with only one report,35
2007,10,one,Events with only one report,45
2007,11,one,Events with only one report,53
2007,12,one,Events with only one report,62
2007,1,2_10,Events with 1< number of reports <= 10,24
2007,2,2_10,Events with 1< number of reports <= 10,6
2007,3,2_10,Events with 1< number of reports <= 10,7
2007,4,2_10,Events with 1< number of reports <= 10,9
2007,5,2_10,Events with 1< number of reports <= 10,8
2007,6,2_10,Events with 1< number of reports <= 10,10
2007,7,2_10,Events with 1< number of reports <= 10,7
2007,8,2_10,Events with 1< number of reports <= 10,15
2007,9,2_10,Events with 1< number of reports <= 10,19
2007,10,2_10,Events with 1< number of reports <= 10,10
2007,11,2_10,Events with 1< number of reports <= 10,8
2007,12,2_10,Events with 1< number of reports <= 10,21
2007,1,11_25,Events with 10< number of reports <= 25,2
2007,2,11_25,Events with 10< number of reports <= 25,0
2007,3,11_25,Events with 10< number of reports <= 25,2
2007,4,11_25,Events with 10< number of reports <= 25,1
2007,5,11_25,Events with 10< number of reports <= 25,0
2007,6,11_25,Events with 10< number of reports <= 25,0
2007,7,11_25,Events with 10< number of reports <= 25,0
2007,8,11_25,Events with 10< number of reports <= 25,0
2007,9,11_25,Events with 10< number of reports <= 25,1
2007,10,11_25,Events with 10< number of reports <= 25,0
2007,11,11_25,Events with 10< number of reports <= 25,1
2007,12,11_25,Events with 10< number of reports <= 25,0
2007,1,26_50,Events with 25< number of reports <= 50,0
2007,2,26_50,Events with 25< number of reports <= 50,0
2007,3,26_50,Events with 25< number of reports <= 50,0
2007,4,26_50,Events with 25< number of reports <= 50,0
2007,5,26_50,Events with 25< number of reports <= 50,0
2007,6,26_50,Events with 25< number of reports <= 50,0
2007,7,26_50,Events with 25< number of reports <= 50,0
2007,8,26_50,Events with 25< number of reports <= 50,0
2007,9,26_50,Events with 25< number of reports <= 50,0
2007,10,26_50,Events with 25< number of reports <= 50,0
2007,11,26_50,Events with 25< number of reports <= 50,0
2007,12,26_50,Events with 25< number of reports <= 50,0
2007,1,51_99,Events with 50< number of reports < 100,0
2007,2,51_99,Events with 50< number of reports < 100,0
2007,3,51_99,Events with 50< number of reports < 100,0
2007,4,51_99,Events with 50< number of reports < 100,0
