year_month,meteors,stations,median_absmag,n_mag_le_0,n_mag_le_-2,n_mag_le_-4,n_mag_le_-6,bright_fraction_mag_le_-4_pct
201901,564,9,0.21,247,28,0,0,0.0
201902,1284,9,0.46,491,34,0,0,0.0
201903,537,9,0.52,175,14,0,0,0.0
201904,876,10,0.33,351,26,0,0,0.0
201905,1242,15,0.51,425,36,1,0,0.0805
201906,1523,22,0.78,404,19,0,0,0.0
201907,1961,29,0.42,730,54,0,0,0.0
201908,5387,52,-0.11,2890,353,1,0,0.0186
201909,6058,55,0.21,2685,227,2,0,0.033
201910,11978,65,0.11,5606,545,7,0,0.0584
201911,7710,71,0.31,3154,306,1,0,0.013
201912,11143,73,0.05,5425,420,4,0,0.0359
202001,7539,75,0.34,3072,247,0,0,0.0
202002,5330,80,0.52,1868,115,0,0,0.0
202003,5101,86,0.59,1635,111,1,0,0.0196
202004,7213,91,0.4,2768,180,3,0,0.0416
202005,5654,101,0.42,2004,106,0,0,0.0
202006,5700,111,0.34,2180,123,1,0,0.0175
202007,10973,117,0.07,5269,551,21,0,0.1914
202008,19422,122,-0.41,12145,2181,92,1,0.4737
202009,14012,131,-0.11,7502,1211,46,0,0.3283
202010,13097,122,-0.1,6953,989,29,0,0.2214
202011,13228,142,0.08,6304,848,51,2,0.3855
202012,17829,155,-0.12,9647,1320,51,1,0.2861
202101,9919,152,0.1,4660,461,15,0,0.1512
202102,6532,161,0.35,2612,269,9,0,0.1378
202103,8774,182,0.47,3180,323,9,1,0.1026
202104,9655,200,0.32,3900,382,16,0,0.1657
202105,10224,216,0.21,4411,411,12,1,0.1174
202106,7966,232,0.14,3616,402,13,0,0.1632
202107,11325,239,-0.13,6152,789,20,0,0.1766
202108,31292,285,-0.58,20968,4603,325,13,1.0386
202109,21221,304,-0.14,11532,1747,93,5,0.4382
202110,31501,316,-0.1,16770,2404,142,49,0.4508
202111,30383,326,0.05,14690,1893,146,47,0.4805
202112,33059,341,-0.1,17642,2204,189,77,0.5717
202201,23727,363,0.01,11842,1453,108,36,0.4552
202202,14910,380,0.11,6901,809,48,16,0.3219
202203,15404,410,0.18,6834,745,82,27,0.5323
202204,15656,418,0.13,7184,766,49,21,0.313
202205,16951,458,0.1,7954,893,64,24,0.3776
202206,13463,466,0.08,6367,667,30,7,0.2228
202207,25226,483,-0.14,13858,1858,111,13,0.44
202208,47300,507,-0.49,30777,6218,495,50,1.0465
202209,29984,510,-0.15,16539,2357,149,28,0.4969
202210,48360,542,-0.22,27653,4016,233,52,0.4818
202211,37895,571,-0.12,20445,2912,215,44,0.5674
202212,45785,571,-0.3,27607,3835,324,127,0.7077
202301,23972,591,-0.08,12679,1497,62,12,0.2586
202302,18602,583,0.02,9214,1032,49,8,0.2634
202303,16310,609,0.05,7920,868,29,4,0.1778
202304,22713,648,0.03,11154,1249,48,1,0.2113
202305,22050,665,0.01,10971,1111,33,0,0.1497
202306,23125,680,0.02,11435,1217,48,0,0.2076
202307,35109,720,-0.16,19513,2354,93,3,0.2649
202308,65164,807,-0.51,42728,8590,560,11,0.8594
202309,44174,822,-0.09,23467,3362,150,4,0.3396
202310,59134,845,-0.16,32635,4700,183,6,0.3095
202311,54030,876,0.01,26817,3774,217,10,0.4016
202312,67520,899,-0.17,37780,4753,162,2,0.2399
202401,45613,911,-0.05,23668,3038,121,4,0.2653
202402,31316,911,-0.02,15914,1980,78,3,0.2491
202403,33960,940,0.07,16282,2011,69,1,0.2032
202404,38029,942,0.05,18457,2405,87,3,0.2288
202405,39834,957,-0.05,20715,2823,126,3,0.3163
202406,38336,953,0.15,17456,2185,93,7,0.2426
202407,67402,974,0.01,33691,4447,179,7,0.2656
202408,112139,1021,-0.42,69849,14087,901,45,0.8035
202409,60747,1014,-0.01,30614,4207,172,10,0.2831
202410,81362,996,-0.01,41070,5888,243,3,0.2987
202411,67862,1015,0.01,33912,4907,230,9,0.3389
202412,89364,1023,-0.19,50258,6916,248,6,0.2775
202501,62373,1047,-0.08,32754,4505,154,3,0.2469
202502,49527,1178,0.06,23873,3135,143,6,0.2887
202503,64809,1327,0.13,30074,4145,180,6,0.2777
202504,55227,1095,0.17,24934,3225,155,4,0.2807
202505,67921,1110,0.04,33316,4631,192,7,0.2827
202506,55659,1095,0.17,25093,3033,111,2,0.1994
202507,88341,1131,-0.02,44724,5804,227,7,0.257
202508,122555,1175,-0.34,73648,13627,694,17,0.5663
202509,88586,1141,0.06,42897,6098,238,5,0.2687
202510,96024,1162,-0.05,49702,7215,331,11,0.3447
202511,93761,1170,-0.0,46986,7416,507,26,0.5407
202512,118020,1266,-0.2,66436,9690,374,23,0.3169
202601,50315,1132,-0.14,27456,3881,155,0,0.3081
202602,40368,1103,-0.03,20560,2801,98,2,0.2428
202603,55328,1170,0.08,26466,3419,164,2,0.2964
202604,63041,1163,0.14,28966,3810,149,5,0.2364
202605,63419,1166,0.08,30272,3963,151,2,0.2381
202606,60014,1167,0.13,27743,3468,139,3,0.2316
202607,91617,1208,-0.04,47115,6468,310,7,0.3384
202608,116203,1251,-0.52,75784,16608,1206,50,1.0378
